trade_number,prediction,confidence,result,pnl,balance
1,0,0.9574569,WIN,19.992,1019.992
2,0,0.9618254,WIN,19.992,1039.984
3,0,0.9534436,WIN,19.992,1059.9759999999999
4,1,0.9607198,WIN,19.992,1079.9679999999998
5,1,0.96123856,WIN,19.992,1099.9599999999998
6,0,0.97027755,LOSS,-10.004,1089.956
7,0,0.9667432,LOSS,-10.004,1079.952
8,0,0.95638704,WIN,19.992,1099.944
9,0,0.9778613,WIN,19.992,1119.936
10,0,0.9619572,WIN,19.992,1139.9279999999999
11,1,0.95334244,WIN,19.992,1159.9199999999998
12,1,0.9532271,WIN,19.992,1179.9119999999998
13,0,0.9595881,WIN,19.992,1199.9039999999998
14,0,0.95933706,WIN,19.992,1219.8959999999997
15,0,0.979765,WIN,19.992,1239.8879999999997
16,0,0.9519084,LOSS,-10.004,1229.8839999999998
17,0,0.9723684,WIN,19.992,1249.8759999999997
18,0,0.9573003,WIN,19.992,1269.8679999999997
19,0,0.95132506,WIN,19.992,1289.8599999999997
20,0,0.9701833,WIN,19.992,1309.8519999999996
21,0,0.95126,WIN,19.992,1329.8439999999996
22,0,0.95014286,LOSS,-10.004,1319.8399999999997
23,0,0.95007485,WIN,19.992,1339.8319999999997
24,0,0.959724,WIN,19.992,1359.8239999999996
25,0,0.9661236,WIN,19.992,1379.8159999999996
26,0,0.95369065,LOSS,-10.004,1369.8119999999997
27,0,0.9682296,WIN,19.992,1389.8039999999996
28,1,0.9595586,WIN,19.992,1409.7959999999996
29,0,0.9558884,WIN,19.992,1429.7879999999996
30,0,0.964594,WIN,19.992,1449.7799999999995
31,0,0.9629282,WIN,19.992,1469.7719999999995
32,0,0.97027797,WIN,19.992,1489.7639999999994
33,0,0.9696413,WIN,19.992,1509.7559999999994
34,0,0.9666508,LOSS,-10.004,1499.7519999999995
35,0,0.96528614,WIN,19.992,1519.7439999999995
36,0,0.95698756,WIN,19.992,1539.7359999999994
37,0,0.9797549,WIN,19.992,1559.7279999999994
38,0,0.95237,WIN,19.992,1579.7199999999993
39,1,0.96677935,WIN,19.992,1599.7119999999993
40,0,0.9653008,WIN,19.992,1619.7039999999993
41,0,0.9603685,WIN,19.992,1639.6959999999992
42,0,0.9590763,WIN,19.992,1659.6879999999992
43,0,0.95761305,LOSS,-10.004,1649.6839999999993
44,0,0.9578821,WIN,19.992,1669.6759999999992
45,0,0.9587054,WIN,19.992,1689.6679999999992
46,0,0.9746852,LOSS,-10.004,1679.6639999999993
47,0,0.9630267,LOSS,-10.004,1669.6599999999994
48,0,0.96968794,WIN,19.992,1689.6519999999994
49,0,0.9700648,LOSS,-10.004,1679.6479999999995
50,0,0.95307565,LOSS,-10.004,1669.6439999999996
51,0,0.9622049,WIN,19.992,1689.6359999999995
52,0,0.95896065,WIN,19.992,1709.6279999999995
53,0,0.9511874,WIN,19.992,1729.6199999999994
54,1,0.9714571,LOSS,-10.004,1719.6159999999995
55,0,0.95186514,WIN,19.992,1739.6079999999995
56,0,0.9569192,WIN,19.992,1759.5999999999995
57,0,0.9680662,LOSS,-10.004,1749.5959999999995
58,1,0.9554565,WIN,19.992,1769.5879999999995
59,1,0.9588961,WIN,19.992,1789.5799999999995
60,0,0.95609087,WIN,19.992,1809.5719999999994
61,0,0.97373664,WIN,19.992,1829.5639999999994
62,1,0.9517952,WIN,19.992,1849.5559999999994
63,0,0.9609472,WIN,19.992,1869.5479999999993
64,0,0.96107894,LOSS,-10.004,1859.5439999999994
65,0,0.9511998,WIN,19.992,1879.5359999999994
66,0,0.95051247,WIN,19.992,1899.5279999999993
67,0,0.9547351,WIN,19.992,1919.5199999999993
68,0,0.9524169,WIN,19.992,1939.5119999999993
69,0,0.95492804,WIN,19.992,1959.5039999999992
70,0,0.96547794,WIN,19.992,1979.4959999999992
71,0,0.9508961,WIN,19.992,1999.4879999999991
72,0,0.968126,WIN,19.992,2019.479999999999
73,0,0.9693253,LOSS,-10.004,2009.4759999999992
74,0,0.9639192,WIN,19.992,2029.4679999999992
75,0,0.96895695,WIN,19.992,2049.459999999999
76,0,0.9750584,WIN,19.992,2069.4519999999993
77,0,0.95213217,WIN,19.992,2089.4439999999995
78,0,0.95122993,WIN,19.992,2109.4359999999997
79,0,0.9534729,WIN,19.992,2129.428
80,0,0.9503093,WIN,19.992,2149.42
81,0,0.9621125,WIN,19.992,2169.4120000000003
